place_id,name,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec,index_jan,index_feb,index_mar,index_apr,index_may,index_jun,index_jul,index_aug,index_sep,index_oct,index_nov,index_dec
n6251832338,n6251832338 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6251832413,n6251832413 (via Haflong),0.27,0.9,2.05,6.15,8.22,10.1,9.79,8.14,7.01,4.29,0.79,0.58,0.0141,0.047,0.1071,0.3213,0.4295,0.5277,0.5115,0.4253,0.3662,0.2241,0.0413,0.0303
n6253840325,n6253840325 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6253840352,n6253840352 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6253840709,n6253840709 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6253840894,n6253840894 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6253842328,n6253842328 (via Jowai),0.24,0.91,2.27,8.05,10.63,14.29,13.77,11.14,9.1,4.75,0.68,0.51,0.0125,0.0475,0.1186,0.4206,0.5554,0.7466,0.7194,0.582,0.4754,0.2482,0.0355,0.0266
n6255618580,n6255618580 (via Shillong),0.29,1.04,2.66,10.59,13.53,19.13,18.91,14.39,11.82,6.2,0.59,0.48,0.0152,0.0543,0.139,0.5533,0.7069,0.9995,0.988,0.7518,0.6176,0.3239,0.0308,0.0251
n6255618621,n6255618621 (via Shillong),0.29,1.04,2.66,10.59,13.53,19.13,18.91,14.39,11.82,6.2,0.59,0.48,0.0152,0.0543,0.139,0.5533,0.7069,0.9995,0.988,0.7518,0.6176,0.3239,0.0308,0.0251
n6258351883,n6258351883 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6258651483,n6258651483 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6258654598,n6258654598 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6258654613,n6258654613 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6258654614,n6258654614 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6258654642,n6258654642 (via Silchar),0.25,1.08,2.8,10.11,13.78,17.96,16.88,13.78,11.26,5.96,0.78,0.67,0.0131,0.0564,0.1463,0.5282,0.72,0.9383,0.8819,0.72,0.5883,0.3114,0.0408,0.035
n6258772330,n6258772330 (via Churachandpur),0.29,0.71,1.57,4.05,5.41,6.87,7.04,5.65,5.01,3.62,0.72,0.5,0.0152,0.0371,0.082,0.2116,0.2827,0.3589,0.3678,0.2952,0.2618,0.1891,0.0376,0.0261
