id,name,state,lat,lon,kind,population,has_market,has_coldstore
n12335661636,n12335661636,,24.737214,92.309052,junction,0,0,0
n12335666191,n12335666191,,24.738659,92.326017,junction,0,0,0
n12335670765,n12335670765,,24.753184,92.317952,junction,0,0,0
n12335671076,n12335671076,,24.743889,92.330038,junction,0,0,0
n12335680308,n12335680308,,24.654056,92.27367,junction,0,0,0
n12335680310,n12335680310,,24.643375,92.2773,junction,0,0,0
n12346997142,n12346997142,,24.666145,92.387989,junction,0,0,0
n12377117626,n12377117626,,24.642929,92.316385,junction,0,0,0
n12386967799,n12386967799,,24.87637,92.252871,junction,0,0,0
n12398775095,n12398775095,,24.713819,92.311781,junction,0,0,0
n12398783654,n12398783654,,24.690251,92.308459,junction,0,0,0
n12398784267,n12398784267,,24.661761,92.316407,junction,0,0,0
